"Statutaire naam";"Handelsnaam";"Plaats";"Land"
"BNP Paribas Funds";"BNP Paribas Funds";"Luxemburg";"Luxemburg"
"BNP Paribas InstiCash";"BNP Paribas InstiCash";"Luxemburg";"Luxemburg"
"BNP Paribas Invest 3 Mois";"BNP Paribas Invest 3 Mois";"Parijs";"Frankrijk"
"BNP Paribas L Fix";"BNP Paribas L Fix";"HOWALD-HESPERANGE";"Luxemburg"
"BNP Paribas L1";"BNP Paribas L1";"Luxemburg";"Luxemburg"
"BNP Paribas Midcap France";"BNP Paribas Midcap France";"Parijs";"Frankrijk"
"BNP Paribas Mois ISR";"BNP Paribas Mois ISR";"Parijs";"Frankrijk"
"BNP PARIBAS MONEY 3M";"BNP PARIBAS MONEY 3M";"Parijs";"Frankrijk"
"BNP Paribas Obli ETAT";"BNP Paribas Obli ETAT";"PARIJS";"Frankrijk"
"BNP Paribas Plan SICAV";"BNP Paribas Plan SICAV";"Luxemburg";"Luxemburg"
"BNP Paribas Selection Dynamique PEA";"BNP Paribas Selection Dynamique PEA";"Parijs";"Frankrijk"
"BNY Mellon Fund Management (Luxembourg) S.A.";"BNY Mellon Fund Management (Luxembourg) S.A.";"Luxembourg";"Luxemburg"
"BNY Mellon Global Funds Plc";"BNY Mellon Global Funds Plc";"DUBLIN 4";"Ierland"
"BNY Mellon Investment Funds";"BNY Mellon Investment Funds";"LONDON";"Verenigd Koninkrijk"
"BOC (Europe) UCITS SICAV";"BOC (Europe) UCITS SICAV";"Luxemburg";"Luxemburg"
"Boussard & Gavaudan Sicav";"Boussard & Gavaudan Sicav";"LUXEMBURG";"Luxemburg"
"Brandes Investment Funds Plc";"Brandes Investment Funds Plc";"DUBLIN";"Ierland"
"Brandes Investment Partners (Europe) Limited";"Brandes Investment Partners (Europe) Limited";"Dublin 2";"Ierland"
"Brevan Howard Liquid Portfolio Strategies";"Brevan Howard Liquid Portfolio Strategies";"LUXEMBURG";"Luxemburg"
"Bright Pensions N.V.";"BrightPensioen, Bright Pensions N.V., BrightNL Pensioen, BrightNL";"Amsterdam";"Nederland"
"BrightSphere Global Funds";"BrightSphere Global Funds";"Luxemburg";"Luxemburg"
"Brookfield Investment Funds (UCITS) plc";"Brookfield Investment Funds (UCITS) plc";"DUBLIN 2";"Ierland"
"Brown Advisory Funds plc";"Brown Advisory Funds plc";"Dublin 1";"Ierland"
"Bryan Garnier Asset Management";"Bryan Garnier Asset Management";"PARIJS";"Frankrijk"
"Calamos Global Funds Plc";"Calamos Global Funds Plc";"DUBLIN 1";"Ierland"
"Candriam Belgium NV/SA";"Candriam Belgium NV/SA";"BRUSSEL";"België"
"Candriam Bonds";"Candriam Bonds";"Esch-sur-Alzette";"Luxemburg"
"Candriam Dynamix";"Candriam Dynamix";"Esch-sur-Alzette";"Luxemburg"
"Candriam Equities B";"Candriam Equities B";"BRUSSEL";"België"
"Candriam Equities L";"Candriam Equities L";"Esch-sur-Alzette";"Luxemburg"
"Candriam Fund";"Candriam Fund";"Strassen";"Luxemburg"
"Candriam GF";"Candriam GF";"LUXEMBURG";"Luxemburg"
"Candriam Index Arbitrage";"Candriam Index Arbitrage";"PARIJS";"Frankrijk"
"Candriam Life Bonds";"Candriam Life Bonds";"LUXEMBURG";"Luxemburg"
"Candriam Long Short Credit";"Candriam Long Short Credit";"PARIJS";"Frankrijk"
"Candriam Luxembourg";"Candriam Luxembourg";"Strassen";"Luxemburg"
"Candriam Money Market";"Candriam Money Market";"Esch-sur-Alzette";"Luxemburg"
"Candriam Multi-Strategies";"Candriam Multi-Strategies";"PARIJS";"Frankrijk"
"Candriam Quant SICAV";"Candriam Quant SICAV";"Esch-sur-Alzette";"Luxemburg"
"Candriam Risk Arbitrage";"Candriam Risk Arbitrage";"PARIJS";"Frankrijk"
"Candriam SRI";"Candriam SRI";"Porte de France";"Luxemburg"
"Candriam Sustainable";"Candriam Sustainable";"BRUSSEL";"België"
"Capertino SICAV";"Capertino SICAV";"Luxembourg";"Luxemburg"
"Capital Group Emerging Markets Growth Fund (LUX) ";"Capital Group Emerging Markets Growth Fund (LUX)";"SENNINGERBERG";"Luxemburg"
"Capital International Fund";"Capital International Fund, Capital International Fund";"Senningerberg";"Luxemburg"
"Capital International Management Company S.à.r.l.";"Capital International Management Company S.à.r.l.";"LUXEMBURG";"Luxemburg"
"Capital International Portfolios";"Capital International Portfolios";"SENNINGERBERG";"Luxemburg"
"CapitalatWork Foyer Umbrella ";"CapitalatWork Foyer Umbrella";"LUXEMBURG";"Luxemburg"
"Carmignac Court Terme";"Carmignac Court Terme";"PARIJS";"Frankrijk"
"Carmignac Emergents";"Carmignac Emergents";"PARIJS";"Frankrijk"
"Carmignac Euro-Entrepreneurs";"Carmignac Euro-Entrepreneurs";"PARIJS";"Frankrijk"
"Carmignac Euro-Investissement";"Carmignac Euro-Investissement";"PARIJS";"Frankrijk"
"Carmignac Euro-Patrimoine";"Carmignac Euro-Patrimoine";"PARIJS";"Frankrijk"
"Carmignac Gestion";"Carmignac Gestion";"PARIJS";"Frankrijk"
"Carmignac Investissement";"Carmignac Investissement";"PARIJS";"Frankrijk"
"Carmignac Patrimoine";"Carmignac Patrimoine";"PARIJS";"Frankrijk"
"Carmignac Portfolio SICAV";"Carmignac Portfolio SICAV";"LUXEMBURG";"Luxemburg"
"Carmignac Profil Réactif 100";"Carmignac Profil Réactif 100";"PARIJS";"Frankrijk"
"Carmignac Profil Réactif 50";"Carmignac Profil Réactif 50";"PARIJS";"Frankrijk"
"Carmignac Profil Réactif 75";"Carmignac Profil Réactif 75";"PARIJS";"Frankrijk"
"Carmignac Sécurité";"Carmignac Sécurité";"PARIJS";"Frankrijk"
"Carne Global Fund Managers (Ireland) Limited";"Carne Global Fund Managers (Ireland) Limited";"Dublin 2";"Ierland"
"Carnegie Fund";"Carnegie Fund";"LUXEMBURG";"Luxemburg"
"Carnegie Global";"Carnegie Global";"Stockholm";"Zweden"
"Carnegie Rysslandsfond";"Carnegie Rysslandsfond";"STOCKHOLM";"Zweden"
"Castlestone Management plc";"Castlestone Management plc";"DUBLIN 2";"Ierland"
"Catella Sicav";"Catella Sicav";"HOWALD";"Luxemburg"
"Celsius Funds Plc";"Celsius Funds Plc";"DUBLIN 1";"Ierland"
"Celsius Investment Funds SICAV";"Celsius Investment Funds SICAV";"LUXEMBURG";"Luxemburg"
"Charles Schwab Worldwide Funds plc";"Charles Schwab Worldwide Funds plc";"Dublin 2";"Ierland"
"Cheyne Select UCITS Fund plc";"Cheyne Select UCITS Fund plc";"DUBLIN 1";"Ierland"
"Chiron Funds ICAV";"Chiron Funds ICAV";"Dublin 2";"Ierland"
"Citadel Value Fund SICAV";"Citadel Value Fund SICAV";"LUXEMBURG";"Luxemburg"
"CLEOME INDEX";"CLEOME INDEX";"Esch-sur-Alzette";"Luxemburg"
"CM Investment Solutions Limited";"CM Investment Solutions Limited";"LONDON";"Verenigd Koninkrijk"
"CM-CIC Asset Management";"CM-CIC Asset Management";"PARIJS";"Frankrijk"
"CMM";"CMM";"LUXEMBURG";"Luxemburg"
"Coeli SICAV I";"Coeli SICAV I";"LUXEMBURG";"Luxemburg"
"Cohen & Steers SICAV";"Cohen & Steers SICAV";"LUXEMBURG";"Luxemburg"
"Comgest Growth Plc";"Comgest Growth Plc";"DUBLIN 2";"Ierland"
"Comgest Monde";"Comgest Monde";"PARIJS";"Frankrijk"
"Commodity Discovery Management B.V.";"Commodity Discovery Management B.V.";"Aerdenhout";"Nederland"
"Comstage";"Comstage";"LUXEMBURG";"Luxemburg"
"Conventum Sicav";"Conventum Sicav";"LUXEMBURG";"Luxemburg"
"Coppins Collins Funds Plc";"Coppins Collins Funds Plc";"DUBLIN 2";"Ierland"
"CPR Cash";"CPR Cash";"75730 Parijs Cedex 15";"Frankrijk"
"CPR Euroland Premium";"CPR Euroland Premium";"Parijs Cedex 15";"Frankrijk"
"CPR Focus Inflation";"CPR Focus Inflation";"Parijs Cedex 15";"Frankrijk"
"CPR Focus Inflation US";"CPR Focus Inflation US";"Parijs Cedex 15";"Frankrijk"
"CPR Invest";"CPR Invest";"LUXEMBURG";"Luxemburg"
"Credit Suisse Custom Markets";"Credit Suisse Custom Markets";"LUXEMBURG";"Luxemburg"
"Credit Suisse Funds SICAV";"Credit Suisse Funds SICAV";"Vaduz";"Liechtenstein"
"Credit Suisse Index Fund (Lux)";"Credit Suisse Index Fund (Lux)";"LUXEMBURG";"Luxemburg"
"Credit Suisse Systematic Alpha (Lux)";"Credit Suisse Systematic Alpha (Lux)";"LUXEMBURG";"Luxemburg"
"Credit Suisse Wealth Funds 1";"Credit Suisse Wealth Funds 1";"Luxemburg";"Luxemburg"
"Crestbridge Management Company S.A.";"Crestbridge Management Company S.A.";"Luxemburg";"Luxemburg"
"Crown Alternative UCITS plc";"Crown Alternative UCITS plc";"DUBLIN 2";"Ierland"
"CS Investment Funds 1";"CS Investment Funds 1";"LUXEMBURG";"Luxemburg"
"CS Investment Funds 11";"CS Investment Funds 11";"LUXEMBURG";"Luxemburg"
"CS Investment Funds 12";"CS Investment Funds 12";"LUXEMBURG";"Luxemburg"
"CS Investment Funds 13";"CS Investment Funds 13";"LUXEMBURG";"Luxemburg"
"CS Investment Funds 14";"CS Investment Funds 14";"LUXEMBURG";"Luxemburg"
"CS Investment Funds 2";"CS Investment Funds 2";"LUXEMBURG";"Luxemburg"
"CS Investment Funds 3";"CS Investment Funds 3";"LUXEMBURG";"Luxemburg"
"CS Investment Funds 4";"CS Investment Funds 4";"LUXEMBURG";"Luxemburg"
"CS Investment Funds 6";"CS Investment Funds 6";"LUXEMBURG";"Luxemburg"
"Cullen Funds plc";"Cullen Funds plc";"Dublin 2";"Ierland"
"Custom Markets plc";"Custom Markets plc";"DUBLIN 2";"Ierland"
"Dasym SICAV";"Dasym SICAV";"SENNINGERBERG";"Luxemburg"
"Davis Funds SICAV";"Davis Funds SICAV";"KIRCHBERG";"Luxemburg"
"DB Platinum";"DB Platinum";"LUXEMBURG";"Luxemburg"
"DB Platinum IV";"DB Platinum IV";"LUXEMBURG";"Luxemburg"
"DB PWM";"DB PWM";"LUXEMBURG";"Luxemburg"
"DB PWM I";"DB PWM I";"LUXEMBURG";"Luxemburg"
"DB PWM II";"DB PWM II";"LUXEMBURG";"Luxemburg"
"Degroof Bonds";"Degroof Bonds";"LUXEMBURG";"Luxemburg"
"Degroof Monetary";"Degroof Monetary";"LUXEMBURG";"Luxemburg"
"Delphi Europe";"Delphi Europe";"LYSAKER";"Noorwegen"
"Delphi Global";"Delphi Global";"LYSAKER";"Noorwegen"
"Delphi Nordic";"Delphi Nordic";"LYSAKER";"Noorwegen"
"Delta Lloyd L";"Delta Lloyd L";"LUXEMBURG";"Luxemburg"
"Deutsche AM Smart Industrial Technologies";"Deutsche AM Smart Industrial Technologies";"Frankfurt am Main";"Duitsland"
"Deutsche Asset & Wealth Management S.A.";"Deutsche Asset & Wealth Management S.A.";"LUXEMBOURG";"Luxemburg"
"Deutsche Floating Rate Notes";"Deutsche Floating Rate Notes";"LUXEMBURG";"Luxemburg"
"Deutsche Floating Rate Notes (USD)";"Deutsche Floating Rate Notes (USD)";"LUXEMBURG";"Luxemburg"
"Deutsche Global Liquidity Series Plc";"Deutsche Global Liquidity Series Plc";"DUBLIN 1";"Ierland"
"Deutsche MAG FI Sicav";"Deutsche MAG FI Sicav";"LUXEMBURG";"Luxemburg"
"Deutsche Quant Equity Low Volatility Europe";"Deutsche Quant Equity Low Volatility Europe";"Frankfurt am Main";"Duitsland"
"Dexia Asset Management Luxembourg S.A.";"Dexia Asset Management Luxembourg S.A.";"LUXEMBURG";"Luxemburg"
"Dexia Double Alpha";"Dexia Double Alpha";"PARIJS";"Frankrijk"
"Dexia Fund";"Dexia Fund";"LUXEMBURG";"Luxemburg"
"Dexia Getec";"Dexia Getec";"PARIJS";"Frankrijk"
"Dexia Index Bevek";"Dexia Index Bevek";"BRUSSEL";"België"
"DIM Funds SICAV S.A.";"DIM Funds SICAV S.A.";"LUXEMBURG";"Luxemburg"
"Dimensional Funds ICVC";"Dimensional Funds ICVC";"LONDON";"Verenigd Koninkrijk"
"Dimensional Funds II plc";"Dimensional Funds II plc";"DUBLIN 1";"Ierland"
"Dimensional Funds plc";"Dimensional Funds plc";"DUBLIN 2";"Ierland"
"Dimensional Ireland Limited";"Dimensional Ireland Limited";"Dublin";"Ierland"
"Diversified Growth Company";"Diversified Growth Company";"LUXEMBURG";"Luxemburg"
"Diversified Growth Company, en Abrege D.G.C.";"Diversified Growth Company, en Abrege D.G.C.";"LUXEMBURG";""
"Diversified Securities Fund SICAV";"Diversified Securities Fund SICAV";"LUXEMBURG";"Luxemburg"
"DM Invest ICAV";"DM Invest ICAV";"Dublin 2";"Ierland"
"DMS UCITS Platform";"DMS UCITS Platform";"Luxemburg";"Luxemburg"
"DMS UCITS Platform ICAV";"DMS UCITS Platform ICAV";"DUBLIN 2";"Ierland"
"DnB NOR Kapitalforvaltning AS";"DnB NOR Kapitalforvaltning AS";"OSLO";"Noorwegen"
"DNCA Invest";"DNCA Invest";"HOWALD-HESPERANGE";"Luxemburg"
"Dodge & Cox Worldwide Funds plc";"Dodge & Cox Worldwide Funds plc";"DUBLIN 2";"Ierland"
"Doubleline Funds (Luxembourg)";"Doubleline Funds (Luxembourg)";"LUXEMBURG";"Luxemburg"
"DPAM Bonds L";"DPAM Bonds L";"Luxemburg";"Luxemburg"
"DPAM Capital B";"DPAM Capital B";"BRUSSEL";"België"
"DPAM Equities L";"DPAM Equities L";"LUXEMBURG";"Luxemburg"
"DPAM Global Strategy L";"DPAM Global Strategy L";"LUXEMBURG";"Luxemburg"
"DPAM INVEST B";"DPAM INVEST B";"BRUSSEL";"België"
"DPAM L";"DPAM L";"LUXEMBURG";"Luxemburg"
"DSM Capital Partners Funds";"DSM Capital Partners Funds";"LUXEMBURG";"Luxemburg"
"Duemme Global Financial";"Duemme Global Financial";"MILAAN";"Italië"
"DWS Aktien Strategie Deutschland";"DWS Aktien Strategie Deutschland";"FRANKFURT AM MAIN";"Duitsland"
"DWS Brazil";"DWS Brazil";"LUXEMBURG";"Luxemburg"
"DWS China";"DWS China";"LUXEMBURG";"Luxemburg"
"DWS CO2 Opportunities Fund";"DWS CO2 Opportunities Fund";"LUXEMBURG";"Luxemburg"
"DWS Concept";"DWS Concept";"LUXEMBURG";"Luxemburg"
"DWS Corporate Bond Basket 2013";"DWS Corporate Bond Basket 2013";"LUXEMBURG";"Luxemburg"
"DWS Covered Bond Fund";"DWS Covered Bond Fund";"FRANKFURT AM MAIN";"Duitsland"
"DWS Deutschland";"DWS Deutschland";"FRANKFURT AM MAIN";"Duitsland"
"DWS Emerging Markets Bonds (SHORT)";"DWS Emerging Markets Bonds (SHORT)";"LUXEMBURG";""
"DWS Eurorenta";"DWS Eurorenta";"LUXEMBURG";"Luxemburg"
"DWS FlexPension SICAV";"DWS FlexPension SICAV";"LUXEMBURG";"Luxemburg"
"DWS Forex Strategy";"DWS Forex Strategy";"LUXEMBURG";"Luxemburg"
"DWS Funds SICAV";"DWS Funds SICAV";"LUXEMBURG";"Luxemburg"
"DWS Geldmarktfonds";"DWS Geldmarktfonds";"FRANKFURT AM MAIN";"Duitsland"
"DWS Global Growth";"DWS Global Growth";"FRANKFURT AM MAIN";"Duitsland"
"DWS Global Value";"DWS Global Value";"LUXEMBURG";"Luxemburg"
"DWS Hybrid Bond Fund";"DWS Hybrid Bond Fund";"Frankfurt am Main";"Duitsland"
"DWS India";"DWS India";"LUXEMBURG";"Luxemburg"
"DWS Institutional SICAV";"DWS Institutional SICAV";"LUXEMBURG";"Luxemburg"
"DWS Invest";"DWS Invest";"LUXEMBURG";"Luxemburg"
"DWS Invest II SICAV";"DWS Invest II SICAV";"LUXEMBURG";"Luxemburg"
"DWS Investment GmbH";"DWS Investment GmbH";"FRANKFURT AM MAIN";"Duitsland"
"DWS Nederland";"DWS Nederland";"FRANKFURT AM MAIN";"Duitsland"
"DWS Osteuropa";"DWS Osteuropa";"LUXEMBURG";"Luxemburg"
"DWS Provesta";"DWS Provesta";"FRANKFURT AM MAIN";"Duitsland"
"DWS Rendite Optima Four Seasons";"DWS Rendite Optima Four Seasons";"LUXEMBURG";"Luxemburg"
"DWS Russia";"DWS Russia";"LUXEMBURG";"Luxemburg"
"DWS Top Dividende";"DWS Top Dividende";"FRANKFURT AM MAIN";"Duitsland"
"DWS Vermögensbildungsfonds I";"DWS Vermögensbildungsfonds I";"FRANKFURT AM MAIN";"Duitsland"
"DWS Vermögensbildungsfonds R";"DWS Vermögensbildungsfonds R";"FRANKFURT AM MAIN";""
"DWS Vorsorge";"DWS Vorsorge";"LUXEMBURG";"Luxemburg"
"Dynasty Sicav S.A.";"Dynasty Sicav S.A.";"Luxembourg";"Luxemburg"
"E.I. Sturdza Funds plc";"E.I. Sturdza Funds plc";"DUBLIN 2";"Ierland"
"East Capital";"East Capital";"LUXEMBURG";"Luxemburg"
"Eastspring Investments";"Eastspring Investments";"LUXEMBURG";"Luxemburg"
"Eaton Vance Global Advisors Limited";"Eaton Vance Global Advisors Limited";"Dublin 2";"Ierland"
"Eaton Vance International (Ireland) Funds plc";"Eaton Vance International (Ireland) Funds plc";"DUBLIN 2";"Ierland"
"Echiquier Agenor Mid Cap Europe";"Echiquier Agenor Mid Cap Europe";"PARIJS";"Frankrijk"
"Echiquier Global";"Echiquier Global";"PARIJS";"Frankrijk"
"Echiquier Major";"Echiquier Major";"PARIJS";"Frankrijk"
"Echiquier Patrimoine";"Echiquier Patrimoine";"PARIJS";"Frankrijk"
"Econopolis Funds";"Econopolis Funds";"Luxemburg";"Luxemburg"
"ECP Flagship Sicav";"ECP Flagship Sicav";"Luxembourg";""
"Edgewood L Select";"Edgewood L Select";"HESPERANGE";"Luxemburg"
"Edinburgh Partners Opportunities Fund Plc";"Edinburgh Partners Opportunities Fund Plc";"DUBLIN 1";"Ierland"
"Edmond de Rothschild Emerging Convertibles";"Edmond de Rothschild Emerging Convertibles";"PARIJS CEDEX 08";"Frankrijk"
"Edmond de Rothschild Energy Evolution";"Edmond de Rothschild Energy Evolution";"Parijs Cedex 08";"Frankrijk"
"Edmond de Rothschild Euro Leaders";"Edmond de Rothschild Euro Leaders";"PARIJS CEDEX 08";"Frankrijk"
"Edmond de Rothschild Fund";"Edmond de Rothschild Fund";"LUXEMBURG";"Luxemburg"
"Edmond de Rothschild Goldsphere";"Edmond de Rothschild Goldsphere";"PARIJS CEDEX 08";"Frankrijk"
"Edmond de Rothschild India";"Edmond de Rothschild India";"PARIJS CEDEX 08";"Frankrijk"
"Edmond de Rothschild PriFund";"Edmond de Rothschild PriFund";"LUXEMBURG";"Luxemburg"
"Edmond de Rothschild Selective Japan";"Edmond de Rothschild Selective Japan";"PARIJS CEDEX 08";"Frankrijk"
"Edmond de Rothschild SICAV";"Edmond de Rothschild SICAV";"PARIJS CEDEX 08";"Frankrijk"
"Eleva Capital LLP";"Eleva Capital LLP";"LONDON";"Verenigd Koninkrijk"
"Eleva UCITS Fund";"Eleva UCITS Fund";"Mamer";"Luxemburg"
"Emso Clover plc";"Emso Clover plc";"DUBLIN 2";"Ierland"
"Epoch Investment Funds PLC";"Epoch Investment Funds PLC";"DUBLIN 2";"Ierland"
"Epsilon Fund";"Epsilon Fund";"LUXEMBURG";"Luxemburg"
"Eric Sturdza Management Company S.A.";"Eric Sturdza Management Company S.A.";"Luxembourg";"Luxemburg"
"Essential Portfolio Selection";"Essential Portfolio Selection";"LUXEMBURG";"Luxemburg"
"Essor Emerging Markets";"Essor Emerging Markets";"Paris 8";"Frankrijk"
"Essor Japon Opportunities";"Essor Japon Opportunities";"Parijs";"Frankrijk"
"Ethna - Global Dynamisch ";"Ethna - Global Dynamisch";"L-5365 MUNSBACH";"Luxemburg"
"Ethna-Aktiv E";"Ethna-Aktiv E";"L-5365 MUNSBACH";"Luxemburg"
"Ethna-GLOBAL Defensiv";"Ethna-GLOBAL Defensiv";"MUNSBACH";"Luxemburg"
"Eurizon Fund";"Eurizon Fund";"LUXEMBURG";"Luxemburg"
"European Specialist Investment Funds";"European Specialist Investment Funds";"LUXEMBURG";"Luxemburg"
"Falcon Fund Sicav";"Falcon Fund Sicav";"LUXEMBURG";"Luxemburg"
"Fidante Partners Liquid Strategies ICAV ";"Fidante Partners Liquid Strategies ICAV";"Dublin 2";"Ierland"
"Fidelity Active STrategy SICAV";"Fidelity Active STrategy SICAV";"LUXEMBURG";"Luxemburg"
"Fidelity Alpha Funds SICAV";"Fidelity Alpha Funds SICAV";"LUXEMBURG";"Luxemburg"
"Fidelity Funds II SICAV";"Fidelity Funds II SICAV";"LUXEMBURG";"Luxemburg"
"Fidelity Funds SICAV";"Fidelity Funds SICAV";"LUXEMBURG";"Luxemburg"
"Fidelity Institutional Funds";"Fidelity Institutional Funds";"KENT";"Verenigd Koninkrijk"
"Fidelity UCITS ICAV";"Fidelity UCITS ICAV";"Dublin 2";"Ierland"
"Fidelity UCITS II ICAV";"Fidelity UCITS II ICAV";"Dublin 2";"Ierland"
"Fidessa Fund SICAV";"Fidessa Fund SICAV";"LUXEMBURG";"Luxemburg"
"First Eagle Amundi";"First Eagle Amundi";"LUXEMBURG";"Luxemburg"
"First Private Investment Management KAG mbh";"First Private Investment Management KAG mbh";"Frankfurt am Main";"Duitsland"
"First State Global Umbrella Fund Plc";"First State Global Umbrella Fund Plc";"DUBLIN 2";"Ierland"
"First State Investments ICVC";"First State Investments ICVC";"LONDON ";"Verenigd Koninkrijk"
"First Trust Global Funds plc";"First Trust Global Funds plc";"DUBLIN 2";"Ierland"
"Fisch Umbrella Fund";"Fisch Umbrella Fund";"Seningerberg";"Luxemburg"
"Fisher Investments Institutional Funds plc";"Fisher Investments Institutional Funds plc";"DUBLIN 2";"Ierland"
"Fort Global UCITS Funds plc";"Fort Global UCITS Funds plc";"DUBLIN 2";"Ierland"
"Forum One";"Forum One";"luxemburg";"Luxemburg"
